Cidades,Arroz_2011,Arroz_2012,Arroz_2013,Arroz_2014,Arroz_2015,Arroz_2016,Arroz_2017,Arroz_2018,Arroz_2019,Arroz_2020
Tufilândia,768,82,113,98,80,80,75,81,45,41
Tuntum,6520,6917,6900,5500,1725,1725,700,770,1565,1478
Turiaçu,2723,2718,2714,2717,761,723,361,177,181,146
Turilândia,2736,2731,2731,2735,766,728,473,105,101,95
Tutóia,100,0,110,90,25,20,25,30,35,30
Urbano Santos,2908,2100,1900,1950,1750,1350,900,1000,280,260
Vargem Grande,5712,5770,5803,5800,870,957,965,968,865,867
Viana,2459,2656,2002,1888,1639,1201,890,1020,1005,995
Vila Nova dos Martírios,489,325,260,180,20,16,91,95,126,122
Vitória do Mearim,2595,3189,3148,2994,2632,2054,1770,1440,1580,1360
Vitorino Freire,5012,5020,4820,4500,3087,300,250,150,100,96
Zé Doca,5950,5000,4789,3850,1505,1485,1367,1337,419,377
